# Renewables.ninja Weather (Point API) - 35.854, -120.304 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Los_Angeles, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "America/Los_Angeles", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "35.854394", "lon": "-120.304389", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,radiation_surface
2019-01-01 00:00,2018-12-31 16:00,40.753
2019-01-01 01:00,2018-12-31 17:00,0
2019-01-01 02:00,2018-12-31 18:00,0
2019-01-01 03:00,2018-12-31 19:00,0
2019-01-01 04:00,2018-12-31 20:00,0
2019-01-01 05:00,2018-12-31 21:00,0
2019-01-01 06:00,2018-12-31 22:00,0
2019-01-01 07:00,2018-12-31 23:00,0
2019-01-01 08:00,2019-01-01 00:00,0
2019-01-01 09:00,2019-01-01 01:00,0
2019-01-01 10:00,2019-01-01 02:00,0
2019-01-01 11:00,2019-01-01 03:00,0
2019-01-01 12:00,2019-01-01 04:00,0
2019-01-01 13:00,2019-01-01 05:00,0
2019-01-01 14:00,2019-01-01 06:00,0
2019-01-01 15:00,2019-01-01 07:00,42.507
2019-01-01 16:00,2019-01-01 08:00,211.571
2019-01-01 17:00,2019-01-01 09:00,376.451
2019-01-01 18:00,2019-01-01 10:00,496.644
2019-01-01 19:00,2019-01-01 11:00,561.235
2019-01-01 20:00,2019-01-01 12:00,562.722
2019-01-01 21:00,2019-01-01 13:00,499.514
2019-01-01 22:00,2019-01-01 14:00,379.573
2019-01-01 23:00,2019-01-01 15:00,215.887
2019-01-02 00:00,2019-01-01 16:00,46.331
2019-01-02 01:00,2019-01-01 17:00,0
2019-01-02 02:00,2019-01-01 18:00,0
2019-01-02 03:00,2019-01-01 19:00,0
2019-01-02 04:00,2019-01-01 20:00,0
2019-01-02 05:00,2019-01-01 21:00,0
2019-01-02 06:00,2019-01-01 22:00,0
2019-01-02 07:00,2019-01-01 23:00,0
2019-01-02 08:00,2019-01-02 00:00,0
2019-01-02 09:00,2019-01-02 01:00,0
2019-01-02 10:00,2019-01-02 02:00,0
2019-01-02 11:00,2019-01-02 03:00,0
2019-01-02 12:00,2019-01-02 04:00,0
2019-01-02 13:00,2019-01-02 05:00,0
2019-01-02 14:00,2019-01-02 06:00,0
2019-01-02 15:00,2019-01-02 07:00,41.036
2019-01-02 16:00,2019-01-02 08:00,205.285
2019-01-02 17:00,2019-01-02 09:00,366.565
2019-01-02 18:00,2019-01-02 10:00,485.109
2019-01-02 19:00,2019-01-02 11:00,548.644
2019-01-02 20:00,2019-01-02 12:00,550.204
2019-01-02 21:00,2019-01-02 13:00,487.026
2019-01-02 22:00,2019-01-02 14:00,369.785
2019-01-02 23:00,2019-01-02 15:00,210.080
2019-01-03 00:00,2019-01-02 16:00,45.214
2019-01-03 01:00,2019-01-02 17:00,0
2019-01-03 02:00,2019-01-02 18:00,0
2019-01-03 03:00,2019-01-02 19:00,0
2019-01-03 04:00,2019-01-02 20:00,0
2019-01-03 05:00,2019-01-02 21:00,0
2019-01-03 06:00,2019-01-02 22:00,0
2019-01-03 07:00,2019-01-02 23:00,0
2019-01-03 08:00,2019-01-03 00:00,0
2019-01-03 09:00,2019-01-03 01:00,0
2019-01-03 10:00,2019-01-03 02:00,0
2019-01-03 11:00,2019-01-03 03:00,0
2019-01-03 12:00,2019-01-03 04:00,0
2019-01-03 13:00,2019-01-03 05:00,0
2019-01-03 14:00,2019-01-03 06:00,0
2019-01-03 15:00,2019-01-03 07:00,40.512
2019-01-03 16:00,2019-01-03 08:00,202.492
2019-01-03 17:00,2019-01-03 09:00,362.366
2019-01-03 18:00,2019-01-03 10:00,481.340
2019-01-03 19:00,2019-01-03 11:00,544.120
2019-01-03 20:00,2019-01-03 12:00,545.202
2019-01-03 21:00,2019-01-03 13:00,484.228
2019-01-03 22:00,2019-01-03 14:00,367.786
2019-01-03 23:00,2019-01-03 15:00,209.330
2019-01-04 00:00,2019-01-03 16:00,45.603
2019-01-04 01:00,2019-01-03 17:00,0
2019-01-04 02:00,2019-01-03 18:00,0
2019-01-04 03:00,2019-01-03 19:00,0
2019-01-04 04:00,2019-01-03 20:00,0
2019-01-04 05:00,2019-01-03 21:00,0
2019-01-04 06:00,2019-01-03 22:00,0
2019-01-04 07:00,2019-01-03 23:00,0
2019-01-04 08:00,2019-01-04 00:00,0
2019-01-04 09:00,2019-01-04 01:00,0
2019-01-04 10:00,2019-01-04 02:00,0
2019-01-04 11:00,2019-01-04 03:00,0
2019-01-04 12:00,2019-01-04 04:00,0
2019-01-04 13:00,2019-01-04 05:00,0
2019-01-04 14:00,2019-01-04 06:00,0
2019-01-04 15:00,2019-01-04 07:00,41.695
2019-01-04 16:00,2019-01-04 08:00,205.053
2019-01-04 17:00,2019-01-04 09:00,365.561
2019-01-04 18:00,2019-01-04 10:00,485.300
2019-01-04 19:00,2019-01-04 11:00,548.349
2019-01-04 20:00,2019-01-04 12:00,549.720
2019-01-04 21:00,2019-01-04 13:00,486.174
2019-01-04 22:00,2019-01-04 14:00,369.353
2019-01-04 23:00,2019-01-04 15:00,210.371
2019-01-05 00:00,2019-01-04 16:00,46.177
2019-01-05 01:00,2019-01-04 17:00,0
2019-01-05 02:00,2019-01-04 18:00,0
2019-01-05 03:00,2019-01-04 19:00,0
2019-01-05 04:00,2019-01-04 20:00,0
2019-01-05 05:00,2019-01-04 21:00,0
2019-01-05 06:00,2019-01-04 22:00,0
2019-01-05 07:00,2019-01-04 23:00,0
2019-01-05 08:00,2019-01-05 00:00,0
2019-01-05 09:00,2019-01-05 01:00,0
2019-01-05 10:00,2019-01-05 02:00,0
2019-01-05 11:00,2019-01-05 03:00,0
2019-01-05 12:00,2019-01-05 04:00,0
2019-01-05 13:00,2019-01-05 05:00,0
2019-01-05 14:00,2019-01-05 06:00,0
2019-01-05 15:00,2019-01-05 07:00,17.047
2019-01-05 16:00,2019-01-05 08:00,83.391
2019-01-05 17:00,2019-01-05 09:00,166.918
2019-01-05 18:00,2019-01-05 10:00,230.015
2019-01-05 19:00,2019-01-05 11:00,225.091
2019-01-05 20:00,2019-01-05 12:00,231.822
2019-01-05 21:00,2019-01-05 13:00,176.609
2019-01-05 22:00,2019-01-05 14:00,134.948
2019-01-05 23:00,2019-01-05 15:00,68.054
2019-01-06 00:00,2019-01-05 16:00,15.358
2019-01-06 01:00,2019-01-05 17:00,0
2019-01-06 02:00,2019-01-05 18:00,0
2019-01-06 03:00,2019-01-05 19:00,0
2019-01-06 04:00,2019-01-05 20:00,0
2019-01-06 05:00,2019-01-05 21:00,0
2019-01-06 06:00,2019-01-05 22:00,0
2019-01-06 07:00,2019-01-05 23:00,0
2019-01-06 08:00,2019-01-06 00:00,0
2019-01-06 09:00,2019-01-06 01:00,0
2019-01-06 10:00,2019-01-06 02:00,0
2019-01-06 11:00,2019-01-06 03:00,0
2019-01-06 12:00,2019-01-06 04:00,0
2019-01-06 13:00,2019-01-06 05:00,0
